round,lang_id,variable,iso_alpha2,country,lang_name,glottocode,glottolog_name,level
1,1,language,BW,1,Afrikaans,afri1274,Afrikaans,language
1,1,language,NA,6,Afrikaans,afri1274,Afrikaans,language
1,1,language,ZA,8,Afrikaans,afri1274,Afrikaans,language
1,2,language,BW,1,Chewa,nyan1308,Nyanja,language
1,2,language,MW,4,Chewa,nyan1308,Nyanja,language
1,2,language,ZW,12,Chewa,nyan1308,Nyanja,language
1,3,language,MW,4,Chinyungwe,nyun1248,Nyungwe,language
1,3,language,NA,6,Chinyungwe,nyun1248,Nyungwe,language
1,4,language,MW,4,Chisena,mala1475,Malawi Sena,language
1,4,language,ZM,11,Chisena,mala1475,Malawi Sena,language
1,5,language,BW,1,Damara,nama1264,Nama (Namibia),language
1,5,language,NA,6,Damara,nama1264,Nama (Namibia),language
1,5,language,ZM,11,Damara,nama1264,Nama (Namibia),language
1,5,language,ZW,12,Damara,nama1264,Nama (Namibia),language
1,6,language,BW,1,English,stan1293,English,language
1,6,language,LS,3,English,stan1293,English,language
1,6,language,MW,4,English,stan1293,English,language
1,6,language,NA,6,English,stan1293,English,language
1,6,language,ZA,8,English,stan1293,English,language
1,6,language,ZM,11,English,stan1293,English,language
1,6,language,ZW,12,English,stan1293,English,language
1,7,language,BW,1,German,stan1295,German,language
1,7,language,NA,6,German,stan1295,German,language
1,8,language,NA,6,Nama,nama1264,Nama (Namibia),language
1,8,language,ZW,12,Nama,nama1264,Nama (Namibia),language
1,9,language,BW,1,Ndebele,nort2795,Zimbabwean Ndebele,language
1,9,language,LS,3,Ndebele,sout2808,Sumayela Ndebele,language
1,9,language,NA,6,Ndebele,nort2795,Zimbabwean Ndebele,language
1,9,language,ZA,8,Ndebele,sout2808,Sumayela Ndebele,language
1,9,language,ZM,11,Ndebele,nort2795,Zimbabwean Ndebele,language
1,9,language,ZW,12,Ndebele,nort2795,Zimbabwean Ndebele,language
1,10,language,NA,6,Oshiwambo,kuan1247,Kuanyama,language
1,11,language,BW,1,Otjiherero,here1253,Herero,language
1,11,language,NA,6,Otjiherero,here1253,Herero,language
1,12,language,NA,6,Portueguese,port1283,Portuguese,language
1,13,language,NA,6,Rukwangali,kwan1273,Kwangali,language
1,14,language,BW,1,"Sesotho,Sotho, S.Sotho",sout2807,Southern Sotho,language
1,14,language,LS,3,"Sesotho,Sotho, S.Sotho",sout2807,Southern Sotho,language
1,14,language,ZA,8,"Sesotho,Sotho, S.Sotho",sout2807,Southern Sotho,language
1,15,language,BW,1,Setswana/Tswana,tswa1253,Tswana,language
1,15,language,NA,6,Setswana/Tswana,tswa1253,Tswana,language
1,15,language,ZA,8,Setswana/Tswana,tswa1253,Tswana,language
1,16,language,BW,1,Silozi,lozi1239,Lozi,language
1,16,language,NA,6,Silozi,lozi1239,Lozi,language
1,16,language,ZM,11,Silozi,lozi1239,Lozi,language
1,17,language,ZA,8,Shangaan/Tsonga/Ronga/Tswa,tswa1254,Tswa-Ronga (S.50),family
1,17,language,ZW,12,Shangaan/Tsonga/Ronga/Tswa,tswa1254,Tswa-Ronga (S.50),family
1,18,language,BW,1,Shona,shon1251,Shona,language
1,18,language,NA,6,Shona,shon1251,Shona,language
1,18,language,ZM,11,Shona,shon1251,Shona,language
1,18,language,ZW,12,Shona,shon1251,Shona,language
1,20,language,ZA,8,Swazi,swat1243,Swati,language
1,20,language,ZM,11,Swazi,swat1243,Swati,language
1,20,language,ZW,12,Swazi,swat1243,Swati,language
1,21,language,NA,6,Venda,vend1245,Venda,language
1,21,language,ZA,8,Venda,vend1245,Venda,language
1,21,language,ZW,12,Venda,vend1245,Venda,language
1,22,language,LS,3,Xhosa,xhos1239,Xhosa,language
1,22,language,ZA,8,Xhosa,xhos1239,Xhosa,language
1,22,language,ZW,12,Xhosa,xhos1239,Xhosa,language
1,23,language,BW,1,Zulu,zulu1248,Zulu,language
1,23,language,ZA,8,Zulu,zulu1248,Zulu,language
1,24,language,NA,6,Sepedi/N.Sotho,pedi1238,Pedi,language
1,24,language,ZA,8,Sepedi/N.Sotho,pedi1238,Pedi,language
1,26,language,ZM,11,Bemba,bemb1257,Bemba (Zambia),language
1,27,language,ZM,11,Kaonde,kaon1241,Kaonde,language
1,29,language,ZM,11,Luvale,luva1239,Luvale,language
1,30,language,MW,4,Nyanja,nyan1308,Nyanja,language
1,30,language,ZM,11,Nyanja,nyan1308,Nyanja,language
1,31,language,MW,4,Tonga,tong1321,Tonga (Nyasa),language
1,31,language,ZM,11,Tonga,tong1318,Tonga (Zambia),language
1,32,language,MW,4,Ngoni,ngon1270,Ngoni (Nyanja),dialect
1,33,language,MW,4,Lomwe,mala1256,Malawi Lomwe,language
1,34,language,MW,4,Tumbuka,tumb1250,Tumbuka,language
1,35,language,MW,4,Yao,yaoo1241,Yao,language
1,37,language,MW,4,Nkhonde,nkon1246,Nkonde,dialect
1,38,language,MW,4,Lambya,lamb1272,Lambya,language
1,41,language,GH,2,Akan,akan1250,Akan,language
1,42,language,GH,2,Dangaare,sout2789,Central Dagaare,language
1,43,language,GH,2,Dagbane,dagb1246,Dagbani,language
1,44,language,GH,2,Ewe,ewee1241,Ewe,language
1,45,language,GH,2,Ga,gaaa1244,Ga,language
1,46,language,GH,2,Hausa,haus1257,Hausa,language
1,47,language,GH,2,Frafra,fare1241,Farefare,language
1,48,language,GH,2,Nzema,nzim1238,Nzima,language
1,50,language,GH,2,Dangbe,adan1247,Adangme,language
1,51,language,GH,2,Wassa,wasa1244,Wasa,language
1,52,language,GH,2,Ahanta,ahan1243,Ahanta,language
1,53,language,GH,2,Guan,guaa1238,Gua,language
1,54,language,GH,2,Kasem,kase1253,Kasem,language
1,55,language,GH,2,Kusasi,kusa1250,Kusaal,language
1,56,language,GH,2,Moar,bimo1239,Bimoba,language
1,57,language,GH,2,Bimoba,bimo1239,Bimoba,language
1,58,language,GH,2,Konkomba,konk1269,Konkomba,language
1,59,language,GH,2,Chekosi,anuf1239,Anufo,language
1,60,language,GH,2,Chumburu,chum1261,Chumburung,language
1,61,language,GH,2,Noingo,adan1247,Adangme,language
1,62,language,GH,2,Krobo,adan1247,Adangme,language
1,63,language,GH,2,Ada,adan1247,Adangme,language
1,64,language,GH,2,Waale,wali1263,Wali (Ghana),language
1,65,language,GH,2,Nabi,fare1241,Farefare,language
1,66,language,GH,2,Mamprulni,mamp1244,Mampruli,language
1,67,language,GH,2,Zabagle,,,
1,68,language,GH,2,Gonja,gonj1241,Gonja,language
1,69,language,GH,2,Efutu,awut1241,Awutu,language
1,70,language,GH,2,Senya,awut1241,Awutu,language
1,71,language,GH,2,Grusi,grus1239,Grusi,family
1,72,language,GH,2,Wangara,,,
1,73,language,GH,2,Dagomba,dagb1246,Dagbani,language
1,74,language,GH,2,Buam/Lelemi,lele1264,Lelemi,language
1,75,language,GH,2,Nsahas,,,
1,76,language,GH,2,Brong,abro1238,Abron,language
1,77,language,GH,2,Basari,ntch1242,Ntcham,language
1,78,language,GH,2,Kanjaga,buli1254,Buli (Ghana),language
1,80,language,GH,2,Sefwi/Sehwi,sehw1238,Sehwi,language
1,81,language,GH,2,Nchunmuru,chum1261,Chumburung,language
1,82,language,GH,2,Nafaana,nafa1258,Nafaanra,language
1,83,language,GH,2,Nkona,nkon1245,Nkonya-Nkami,language
1,84,language,ML,5,Bambara,bamb1269,Bambara,language
1,85,language,ML,5,Fulfulde/Peul,maas1239,Maasina Fulfulde,language
1,86,language,ML,5,Senufo,nort3254,North Senufo,family
1,87,language,ML,5,Soninke,soni1259,Soninke,language
1,88,language,ML,5,Malinke,west2499,West Manding,family
1,89,language,ML,5,Sonrhai,song1307,Songhay,family
1,90,language,ML,5,Dogon,dogo1299,Dogon,family
1,91,language,ML,5,Tamasheq,tuar1240,Tuareg,family
1,92,language,ML,5,Bobo,bomu1247,Bomu,language
1,93,language,ML,5,Bozo,nucl1444,Nuclear Bozo,family
1,94,language,ML,5,Khasonke,xaas1235,Xaasongaxango,language
1,95,language,ML,5,Arabe,hass1238,Hassaniyya,language
1,96,language,ML,5,Maure,hass1238,Hassaniyya,language
1,98,language,ML,5,Samoko,duun1242,Duungooma,language
1,99,language,ML,5,Bella,koyr1242,Koyraboro Senni Songhai,language
1,100,language,ML,5,Mianka,mama1271,Mamara Senoufo,language
1,101,language,ML,5,Dafing,mark1256,Marka,language
1,102,language,ML,5,Mossi,moss1236,Mossi,language
